policy_id,policy_start_date,policy_end_date,renewal_count,avg_premium_paid,total_claim_amount,number_of_claims,engagement_touches,last_renewal_months_ago
POL100417,5/4/18,5/7/22,3,657.04,3877.4,2,4,9
POL100418,2/12/17,2/10/19,3,504.66,5792.91,3,2,39
POL100419,5/26/17,3/17/19,1,353.99,1570.02,1,3,12
POL100420,9/18/17,9/9/19,1,655.39,2410.89,3,3,18
POL100421,2/16/15,9/26/17,2,274.09,1433.61,2,3,5
POL100422,12/24/22,6/12/26,2,799.36,3961.27,2,5,17
POL100423,11/10/22,11/3/25,6,897.96,413.12,1,3,39
POL100424,5/27/22,9/18/26,1,403.14,3468.12,2,1,8
POL100425,9/26/15,10/21/17,3,757.87,904.28,1,5,16
POL100426,1/5/16,5/10/18,3,652.36,2024.16,2,4,3
POL100427,9/27/16,12/7/18,4,524.99,5143.09,3,3,5
POL100428,2/3/18,11/26/20,2,531.99,908.05,2,3,10
POL100429,8/21/19,11/26/21,3,698.17,902.09,1,5,41
POL100430,8/10/19,11/9/21,4,594.01,1918.44,1,7,25
POL100431,10/18/16,1/31/18,2,210.87,0,0,4,10
POL100432,4/30/15,8/31/18,3,910.95,0,0,4,7
POL100433,4/10/17,4/25/18,2,664.98,3175.52,2,5,2
POL100434,12/16/19,2/22/21,4,592.2,402.97,1,4,1
POL100435,12/17/17,3/27/19,1,492.24,1290.91,2,1,17
POL100436,5/28/20,8/27/23,3,571.66,2270.3,2,1,1
POL100437,10/1/18,8/7/21,5,790.38,0,0,6,25
POL100438,1/10/17,10/2/21,2,639.24,1997.1,2,4,11
POL100439,4/27/15,6/14/16,4,656.31,3256.92,2,3,36
POL100440,1/28/20,7/1/23,2,412.62,324.95,1,2,25
POL100441,10/9/22,8/19/26,1,547.56,1422.84,1,7,35
POL100442,2/24/18,1/3/23,3,607.66,300.19,1,2,15
POL100443,4/15/20,1/28/23,4,704.48,1221.6,3,3,13
POL100444,10/9/17,1/14/21,7,537.63,994.09,1,3,1
POL100445,7/23/19,5/5/23,4,739.18,3459.22,2,3,20
POL100446,12/17/17,5/11/21,6,428.35,0,0,5,6
POL100447,9/25/16,5/27/19,4,610.43,0,0,3,10
POL100448,5/27/16,8/22/19,1,585.36,0,0,4,43
POL100449,10/20/22,2/23/26,1,372.67,2070.62,3,4,28
POL100450,1/24/18,11/7/19,7,592.84,0,0,7,36
POL100451,2/15/18,6/16/20,4,512.61,0,0,4,47
POL100452,7/13/16,6/14/18,3,812.07,2341.58,2,0,38
POL100453,5/2/16,12/26/17,3,538.46,0,0,5,27
POL100454,6/15/17,8/30/18,3,652.63,0,0,5,39
POL100455,4/27/18,10/5/20,3,415.34,1306.74,1,3,3
POL100456,12/4/16,10/16/21,1,635.49,345.82,1,5,3
POL100457,1/10/19,3/6/22,1,537.74,0,0,5,26
POL100458,8/3/16,3/6/18,3,483.56,0,0,5,5
POL100459,10/8/22,1/27/25,0,1025.08,1595.07,3,4,33
POL100460,12/18/22,4/6/25,3,546.98,741.09,1,2,40
POL100461,4/13/21,1/30/26,3,568.21,1071.98,1,1,39
POL100462,6/3/15,11/27/18,0,735.3,0,0,1,17
POL100463,8/7/19,12/1/20,2,484.74,5442.31,3,5,43
POL100464,9/23/17,12/23/21,1,660.49,1340.59,1,2,47
POL100465,7/7/22,12/27/24,2,676.55,5368.34,3,1,29
POL100466,5/28/18,7/23/20,4,636.71,2391.93,2,3,32
POL100467,12/28/17,9/6/22,4,944.45,905.56,2,3,19
POL100468,10/5/17,6/23/20,1,479.36,0,0,4,35
POL100469,11/11/20,9/13/23,3,830.64,1697.46,1,6,45
POL100470,11/9/19,12/14/21,3,670.82,629.98,1,8,4
POL100471,8/15/17,4/16/21,2,736.42,0,0,3,34
POL100472,3/28/16,5/6/19,2,651.19,4300.2,5,5,18
POL100473,5/12/18,1/21/23,3,881.74,0,0,4,11
POL100474,3/15/21,7/2/23,2,551.99,3282.55,4,6,25
POL100475,11/26/21,12/6/23,3,674.58,0,0,7,18
POL100476,10/15/21,2/10/24,2,795.82,0,0,9,10
POL100477,7/16/21,12/14/25,1,516.17,0,0,2,19
POL100478,7/4/16,2/8/18,0,750.07,0,0,4,8
POL100479,6/24/19,8/4/22,3,597.2,1375.33,1,5,19
POL100480,8/5/18,1/22/20,4,414.77,0,0,1,26
POL100481,10/24/19,7/7/24,4,382.26,1233.39,1,4,4
POL100482,12/23/15,5/7/18,3,586.38,722.53,1,6,9
POL100483,9/1/20,1/19/22,3,748.63,2373.25,2,2,8
POL100484,11/21/19,10/28/23,6,288.15,0,0,3,24
POL100485,1/13/22,1/9/26,4,630.07,3101.89,3,3,12
POL100486,11/17/19,8/11/24,4,733.86,3820.38,3,5,31
POL100487,10/20/22,8/15/27,5,408.31,1828.18,3,4,7
POL100488,9/10/22,6/25/24,1,504.91,736.15,1,2,44
POL100489,10/25/21,1/27/25,4,685.86,0,0,6,26
POL100490,6/20/19,8/27/20,2,727.28,419.95,1,7,21
POL100491,9/17/22,1/6/27,4,840.61,1782.71,2,4,27
POL100492,10/12/17,5/8/19,5,512.05,3928.48,2,4,17
POL100493,9/10/18,12/3/20,2,477.66,901.6,1,1,22
POL100494,5/30/16,3/9/19,4,847.9,1082.91,1,3,40
POL100495,10/10/22,11/27/24,1,486.76,1410.25,1,2,30
POL100496,12/2/15,6/1/20,2,676.09,4207.34,3,5,40
POL100497,11/18/19,7/9/21,4,927.47,1914.82,1,7,33
POL100498,4/24/21,2/25/25,1,712.91,1757.86,1,6,6
POL100499,5/11/16,1/16/21,1,717.49,1649.72,1,4,4
POL100500,6/14/17,9/20/18,0,791.71,3835.53,2,3,20
POL100501,1/16/21,11/28/24,3,678.73,0,0,3,5
POL100502,5/1/17,2/27/20,3,718.21,2697.98,2,5,44
POL100503,8/15/19,6/3/21,4,548.61,7232.94,4,7,34
POL100504,4/15/20,9/30/23,2,773.99,1361.03,1,3,41
POL100505,6/30/22,10/8/23,3,662.02,3923.23,2,6,22
POL100506,8/24/21,11/13/25,6,378.29,470.6,1,4,2
POL100507,4/18/19,10/26/22,2,636.44,0,0,5,32
POL100508,8/14/17,10/21/20,2,274.55,9807.58,5,4,37
POL100509,7/1/22,7/31/26,2,707.09,0,0,3,22
POL100510,6/25/19,6/10/22,4,564.97,0,0,8,15
POL100511,7/15/18,12/9/20,1,885.83,703.37,2,5,24
POL100512,12/11/18,3/18/23,4,673.44,4443.67,3,8,15
POL100513,4/6/18,6/19/20,3,738.63,3777.73,2,3,24
POL100514,12/2/17,1/8/19,3,442.62,950.6,1,6,41
POL100515,10/12/15,1/7/20,5,702.69,0,0,5,6
POL100516,9/10/21,11/27/22,3,503.9,347.45,1,4,7
POL100517,1/12/15,2/3/19,1,763.58,3632.88,2,5,2
POL100518,6/19/19,10/10/20,1,432.25,3056.55,2,3,4
POL100519,12/21/21,1/15/25,3,616.47,481.37,1,1,18
POL100520,1/23/17,1/18/19,5,426.32,1178.41,3,5,6
POL100521,9/13/20,10/10/23,4,618.87,1668.2,1,3,21
POL100522,8/6/22,8/22/24,2,903.37,1676.76,1,6,25
POL100523,12/6/22,2/11/27,7,708.19,0,0,5,24
POL100524,3/31/15,10/27/18,0,595.11,2437.75,3,1,5
POL100525,2/14/17,8/14/18,4,230.68,9756.27,6,6,4
POL100526,4/6/22,7/12/23,2,519.65,4772.8,4,1,37
POL100527,6/14/19,6/16/21,3,671.2,3852.39,2,9,37
POL100528,2/22/16,7/10/17,1,523.37,1117.81,1,6,21
POL100529,4/25/15,8/14/16,3,814.07,0,0,4,30
POL100530,9/8/16,5/16/21,1,610.73,0,0,2,21
POL100531,4/5/17,3/3/19,3,761.79,3806.08,2,3,10
POL100532,7/8/19,11/23/22,6,630.74,3910.88,4,4,31
POL100533,2/25/19,5/24/22,3,558.6,690.65,1,6,16
POL100534,2/17/16,7/6/18,2,529.3,1710.56,2,2,40
POL100535,12/29/16,5/16/20,1,448.18,1749.72,1,2,21
POL100536,9/9/22,10/20/26,4,764.49,2292.99,2,3,15
POL100537,11/6/16,11/29/20,4,535.8,0,0,4,41
POL100538,3/7/20,6/23/22,3,678.34,0,0,1,14
POL100539,11/9/21,3/15/25,1,521.14,1579.47,3,3,7
POL100540,2/17/21,8/19/22,4,437.55,0,0,3,45
POL100541,8/18/22,3/9/26,2,683.27,1553.99,2,2,47
POL100542,1/27/18,3/6/20,4,487.99,2657.02,2,7,2
POL100543,4/21/19,1/24/22,1,539.93,1509.86,1,2,12
POL100544,9/4/17,2/21/19,5,412.7,3410.48,2,8,29
POL100545,10/5/17,5/23/20,3,526.03,0,0,5,27
POL100546,11/13/20,7/15/25,1,603.62,3001.77,3,7,8
POL100547,8/15/19,12/16/23,2,556.88,7794.39,5,1,11
POL100548,6/3/22,1/27/27,1,722.73,1280.83,3,2,24
POL100549,2/6/15,12/19/18,5,621.83,397.8,1,4,36
POL100550,3/29/19,3/1/24,1,1063.1,0,0,4,20
POL100551,5/15/21,7/13/25,3,663.64,2125.13,2,8,38
POL100552,3/14/21,10/31/24,2,339.68,0,0,1,38
POL100553,12/24/22,5/9/26,3,568.07,0,0,2,18
POL100554,5/22/17,2/20/20,2,581.06,2802.79,2,3,7
POL100555,12/27/19,10/25/22,5,507.96,0,0,5,37
POL100556,7/20/18,4/20/20,4,610.89,2495.06,2,5,2
POL100557,10/10/20,4/28/25,5,503.49,3003.26,3,2,21
POL100558,8/18/16,4/19/18,2,649.92,587.25,1,3,0
POL100559,3/18/20,8/7/22,3,313.7,425.83,1,7,37
POL100560,12/29/16,5/6/20,2,771.62,2104.78,3,4,18
POL100561,9/27/18,11/4/21,1,363.26,398.09,1,8,20
POL100562,2/1/16,11/19/17,3,560.47,5406.56,4,4,12
POL100563,11/29/16,1/19/19,1,490.09,1652.72,1,3,26
POL100564,2/2/21,8/4/22,7,645.89,6142.92,7,5,16
POL100565,6/24/19,7/11/23,6,572.51,1916.18,2,7,19
POL100566,1/31/16,2/25/17,3,637.75,6750.1,4,5,29
POL100567,10/28/21,11/26/24,4,766.68,1356.88,2,3,37
POL100568,3/17/15,2/9/19,1,715.29,0,0,5,10
POL100569,9/22/15,12/7/16,1,605.45,4607.6,4,3,26
POL100570,11/7/21,3/28/23,2,668.93,1398.52,1,6,37
POL100571,12/25/19,7/9/24,3,894,1319.41,1,1,27
POL100572,12/18/16,1/4/18,3,720.64,7567.92,5,6,25
POL100573,8/14/22,11/20/25,1,555.97,0,0,4,38
POL100574,4/30/17,8/4/19,4,791.68,1027.94,1,1,32
POL100575,10/22/18,12/5/20,1,658.7,0,0,1,31
POL100576,5/24/15,4/12/18,3,455.58,1590.51,1,3,24
POL100577,6/3/17,11/6/21,3,572.89,1783.64,1,4,23
POL100578,1/31/16,11/4/20,1,379.16,3891.35,5,4,39
POL100579,2/1/19,3/31/23,2,257.25,923.74,2,5,26
POL100580,3/13/18,2/8/21,4,457.64,2923.31,4,3,45
POL100581,3/1/22,11/24/24,2,618.39,476.81,1,8,21
POL100582,11/28/17,10/4/19,0,618.83,2544.35,3,5,19
POL100583,11/26/20,4/28/24,4,388.26,0,0,8,32
POL100584,12/1/17,7/4/20,0,243.19,0,0,4,4
POL100585,4/24/18,1/1/20,2,820.61,2936.79,3,3,28
POL100586,9/11/21,1/15/23,5,614.29,1348.14,2,3,4
POL100587,9/25/16,10/28/20,1,833.36,0,0,4,45
POL100588,3/2/18,3/12/21,5,824.79,1782.5,3,3,38
POL100589,5/23/18,2/22/20,4,710.21,1254.83,2,5,16
POL100590,1/2/17,8/27/18,4,608.87,3191.71,2,2,28
POL100591,8/23/15,5/2/18,3,540.35,807.49,2,4,10
POL100592,5/29/22,10/1/24,6,707.79,5986.75,3,6,21
POL100593,1/20/17,7/27/19,2,576.02,1188.57,1,2,30
POL100594,3/20/22,4/5/24,4,511.56,1225.26,1,4,38
POL100595,8/11/17,5/16/22,2,285.31,3631.43,4,5,0
POL100596,12/14/21,1/26/24,5,587.53,1473.43,1,7,14
POL100597,3/23/19,7/25/23,3,764.5,3304.43,3,2,18
POL100598,4/12/18,5/6/21,3,788.9,3437.62,4,4,9
POL100599,8/4/19,1/5/23,3,607.99,750.74,1,3,8
POL100600,4/6/18,3/8/21,1,466.69,3747.21,2,3,12
POL100601,1/26/21,11/22/24,3,735.41,1589.36,2,7,44
POL100602,11/17/18,2/11/20,6,597.7,0,0,8,25
POL100603,10/13/22,6/16/26,3,545.15,895.58,1,2,5
POL100604,5/5/22,1/3/27,1,381.61,446.5,1,10,39
POL100605,5/2/18,5/9/21,3,915.56,0,0,4,43
POL100606,3/21/19,8/3/20,3,710.76,622.15,1,6,1
POL100607,9/7/20,5/27/24,2,726.94,2958.41,2,3,28
POL100608,12/16/18,5/19/22,3,470.58,991.2,1,2,47
POL100609,7/14/21,3/11/23,0,611.96,6517.38,4,3,11
POL100610,2/28/19,9/15/23,8,587.78,3010.43,2,6,22
POL100611,10/20/18,9/18/20,1,717.31,626.48,1,3,2
POL100612,1/31/20,7/24/23,1,803.96,2513.92,2,6,10
POL100613,9/27/18,4/4/22,3,384.87,1562.95,1,4,4
POL100614,5/14/16,3/25/20,2,438.8,2752.35,2,1,44
POL100615,8/8/19,4/11/23,2,696.86,0,0,6,9
POL100616,5/25/16,2/2/19,3,523.8,4672.02,3,4,46
POL100617,8/5/15,6/3/20,4,722.23,0,0,1,5
POL100618,8/17/18,12/31/20,3,544.04,0,0,2,15
POL100619,3/1/18,8/15/20,7,412.68,763.51,1,6,30
POL100620,1/2/20,2/25/22,3,336.1,2544.37,2,4,22
POL100621,12/16/19,10/19/22,3,672.62,711.92,1,6,29
POL100622,10/28/21,6/19/25,3,676.3,3451.98,2,3,39
POL100623,4/20/18,2/14/20,5,745.53,1116.95,1,3,19
POL100624,1/23/21,11/12/23,5,649.18,0,0,4,24
POL100625,4/1/15,12/7/18,4,200,0,0,2,34
POL100626,12/14/16,8/7/20,4,675.52,1822.04,1,3,4
POL100627,2/25/20,12/14/22,2,381.38,3089.01,2,1,46
POL100628,2/8/15,10/30/16,6,319.84,1105.81,2,3,2
POL100629,6/22/15,4/18/20,3,301.78,3505.41,2,4,46
POL100630,10/14/16,4/14/18,2,287.97,1351.58,1,1,33
POL100631,1/23/17,8/4/20,6,641.85,1336.06,1,3,11
POL100632,5/28/18,1/4/22,4,490.32,1866.28,1,1,26
POL100633,12/17/17,7/1/20,3,372.13,0,0,4,4
POL100634,8/11/19,12/9/21,3,603.46,0,0,4,40
POL100635,11/28/21,9/25/23,6,434.11,0,0,8,21
POL100636,3/31/16,1/14/18,4,747.16,3152.93,2,5,3
POL100637,4/8/17,8/24/19,2,817.53,0,0,5,27
POL100638,6/13/17,1/18/22,1,567.36,2755.23,2,3,6
POL100639,10/16/18,12/30/22,3,806.59,2138.58,2,5,47
POL100640,5/12/20,6/6/23,4,806.34,1337.66,1,5,44
POL100641,8/31/21,2/19/24,5,612.69,6791.38,4,2,33
POL100642,6/19/20,10/26/21,6,860.02,606.81,1,3,1
POL100643,7/23/21,6/9/24,2,506.75,4446.43,3,3,8
POL100644,7/9/15,12/23/17,4,306.71,3277.25,2,5,14
POL100645,5/19/16,6/6/20,4,366.84,1060.09,1,3,30
POL100646,4/29/18,9/14/22,0,499.85,4247.49,5,4,35
POL100647,3/12/19,7/30/22,4,680.15,1615.13,5,4,40
POL100648,4/3/17,4/29/18,5,426.78,0,0,4,14
POL100649,7/17/17,2/25/22,2,498.63,2572.49,3,5,32
POL100650,7/22/17,5/2/22,5,412.58,1814.85,2,3,30
POL100651,2/14/18,1/17/21,4,502.06,871.21,1,3,26
POL100652,5/14/15,9/13/16,5,801.41,3443.57,3,5,1
POL100653,10/6/20,3/22/24,2,653.64,2988.5,2,7,8
POL100654,11/15/16,1/20/21,2,513.45,3224.33,2,7,42
POL100655,6/12/22,5/22/27,0,783.07,967.37,1,4,0
POL100656,1/29/21,10/2/25,4,603.85,2854.55,2,2,18
POL100657,1/27/20,6/8/24,1,620.05,0,0,5,8
POL100658,3/25/17,8/8/20,2,771.42,804.76,1,5,1
POL100659,3/18/18,9/20/21,3,548.61,1392.77,3,4,36
POL100660,3/21/15,1/16/19,2,737.44,1820.93,1,4,0
POL100661,7/22/15,4/8/17,2,726.74,4353.29,3,5,45
POL100662,9/12/22,11/12/24,1,578.17,1401.79,1,4,11
POL100663,6/6/18,2/16/21,3,390.57,800.27,2,1,25
POL100664,8/27/19,9/15/20,4,601.9,0,0,4,9
POL100665,6/4/18,12/9/19,6,770.59,0,0,3,46
POL100666,8/10/19,11/12/20,3,722.97,0,0,6,0
POL100667,4/5/19,5/26/21,2,856.54,3913.51,2,4,0
POL100668,9/25/20,8/31/22,3,526.44,1927.07,1,5,42
POL100669,6/10/18,9/26/21,1,716.9,7021.41,4,4,30
POL100670,3/30/19,12/17/23,2,449.06,318.61,1,2,10
POL100671,3/12/18,10/20/21,1,630.24,1805.74,1,3,4
POL100672,10/28/18,4/30/22,3,765.81,427.61,1,3,34
POL100673,5/27/22,11/12/24,4,735.96,5241.09,3,5,10
POL100674,4/15/16,3/6/19,2,615.46,0,0,9,3
POL100675,11/1/17,12/23/20,2,559.79,6685.58,5,4,37
POL100676,9/15/18,6/28/23,3,450.78,0,0,5,38
POL100677,8/15/22,4/29/27,2,566.13,0,0,6,20
POL100678,10/2/22,1/15/24,2,403.47,0,0,6,35
POL100679,8/25/17,7/27/19,3,548.52,998.17,1,6,45
POL100680,12/24/15,10/17/20,1,329.07,5068.97,3,4,27
POL100681,10/29/16,4/25/19,6,402.2,0,0,11,7
POL100682,1/8/16,2/12/20,2,727.92,0,0,6,19
POL100683,10/28/17,7/30/19,2,711.21,2955.46,3,3,42
POL100684,2/19/18,6/29/19,2,556.67,1113.83,3,0,45
POL100685,10/3/18,7/8/20,4,609.72,0,0,8,20
POL100686,6/16/22,3/20/24,1,629.83,0,0,1,34
POL100687,3/31/15,6/1/19,2,669.05,0,0,6,42
POL100688,7/8/22,1/25/26,4,653,1362.87,2,2,31
POL100689,6/23/16,1/14/18,3,399.48,903.9,1,3,35
POL100690,8/11/22,3/15/26,3,233.54,7841.22,4,7,40
POL100691,5/18/17,5/16/22,3,447.47,680.89,1,4,4
POL100692,2/10/15,10/13/16,6,576.85,1254.6,1,3,44
POL100693,1/9/17,1/14/21,3,744.03,2942.31,3,9,3
POL100694,4/30/20,8/20/23,3,635.15,0,0,2,6
POL100695,12/24/21,9/20/24,1,680.16,3549.12,2,2,33
POL100696,5/9/18,12/18/21,2,465.47,879.42,1,3,19
POL100697,7/17/17,8/1/21,4,589.39,0,0,3,6
POL100698,7/29/20,7/15/24,3,609.82,1233.38,1,3,23
POL100699,11/13/21,10/3/26,3,486.65,773.36,1,6,20
POL100700,8/11/22,12/5/24,2,439.57,1524.6,2,6,8
POL100701,8/31/22,5/28/25,3,566,1215.67,1,10,18
POL100702,7/13/17,5/19/21,1,699.19,1123.61,2,2,19
POL100703,5/1/19,11/28/22,2,464.26,1678.38,1,3,27
POL100704,1/25/16,7/15/19,2,568.77,417.31,1,1,31
POL100705,6/6/19,9/13/20,3,803.25,921.55,2,3,33
POL100706,9/13/15,1/18/17,5,522.1,3527.14,4,3,15
POL100707,12/9/16,11/27/21,3,601.09,0,0,5,37
POL100708,1/13/20,1/31/24,6,584.14,2217.38,2,3,16
POL100709,4/28/20,2/1/25,2,571.83,979.45,1,3,10
POL100710,11/2/21,6/4/24,5,850.27,0,0,2,3
POL100711,1/10/15,3/20/19,6,645.86,7680.43,4,3,39
POL100712,11/11/22,2/10/26,6,364.47,0,0,2,44
POL100713,3/8/17,6/10/20,3,829.26,1210.13,2,7,39
POL100714,5/26/17,7/4/21,4,641.22,0,0,2,41
POL100715,10/25/17,12/21/20,3,543.96,1933.25,2,7,17
POL100716,10/12/17,1/12/20,2,802.42,2212.24,2,5,47
POL100717,12/30/19,6/26/24,5,483.2,2033.36,2,5,5
POL100718,1/9/16,12/20/20,4,857.36,1553.86,2,2,45
POL100719,1/2/21,9/7/25,2,614,0,0,1,31
POL100720,8/12/15,9/3/19,0,750.83,0,0,6,4
POL100721,6/16/18,1/12/23,0,1060.13,2567.23,2,5,14
POL100722,2/2/21,4/10/22,5,627.01,1416.11,2,4,44
POL100723,12/8/19,11/19/22,6,585.48,3311.08,2,5,15
POL100724,5/2/17,11/23/18,1,439.95,1616.14,1,5,47
POL100725,3/4/15,6/24/19,2,581.91,1607.46,2,4,16
POL100726,5/25/18,12/12/19,5,444.57,1458.64,1,2,36
POL100727,11/14/22,6/22/25,4,571.95,1496.59,1,4,42
POL100728,10/13/22,12/9/24,3,1034.2,0,0,5,14
POL100729,11/19/16,10/19/21,2,617.94,1321.02,1,4,34
POL100730,1/24/19,6/22/20,0,516.95,1276.57,1,4,7
POL100731,6/22/19,2/13/21,4,568.54,0,0,2,34
POL100732,11/22/20,12/30/24,5,538.22,2878.9,2,2,35
POL100733,5/25/16,7/9/18,2,757.26,1098.62,1,3,26
POL100734,1/20/16,10/4/17,3,586.47,1045.38,1,5,13
POL100735,2/9/16,1/16/21,7,841.33,1762,1,1,22
POL100736,11/10/22,12/20/23,5,552.59,0,0,3,19
POL100737,6/1/16,9/7/17,3,562.26,0,0,5,5
POL100738,4/20/16,8/21/20,1,465.48,1519.16,3,1,23
POL100739,6/23/20,12/1/24,3,542.49,360.08,1,3,22
POL100740,7/19/22,6/21/24,4,339.96,768.65,1,6,35
POL100741,7/27/19,6/15/21,1,280.53,5941.23,3,1,11
POL100742,3/8/20,2/3/23,3,693.7,759.39,1,3,1
POL100743,9/19/22,7/7/25,3,338.18,2856.6,2,4,26
POL100744,12/31/18,5/2/23,4,660.89,3006.65,6,1,31
POL100745,6/17/22,5/26/26,1,524.93,0,0,7,28
POL100746,12/14/16,8/17/18,2,740.93,5920.86,3,4,45
POL100747,3/24/15,2/13/19,3,341.49,1592.25,2,1,39
POL100748,3/14/18,6/10/19,2,689.74,5225.19,3,8,39
POL100749,11/9/21,2/13/24,1,649.74,1995.87,1,3,43
POL100750,3/16/20,6/19/23,1,654.38,1300.54,1,2,32
POL100751,8/10/20,3/17/24,3,768.58,3303.93,4,5,28
POL100752,2/20/15,2/24/17,0,610.54,4335.01,3,3,32
POL100753,11/15/16,12/8/20,3,232.82,1736.24,1,11,35
POL100754,12/17/16,10/1/20,1,667.37,591.3,1,6,16
POL100755,1/9/19,6/15/21,1,647.95,1069.28,1,3,9
POL100756,3/24/16,2/19/18,7,563.31,0,0,3,0
POL100757,5/30/17,4/20/19,3,473.73,1563.42,2,6,42
POL100758,5/2/16,3/25/21,2,545.86,0,0,2,16
POL100759,12/29/19,11/14/24,4,818.71,2033.62,2,3,41
POL100760,9/12/20,7/29/23,4,462.01,1752.86,2,7,27
POL100761,11/12/20,9/8/25,0,338.94,3977.9,3,4,37
POL100762,4/24/19,6/28/22,3,379.76,2018.95,3,7,35
POL100763,1/10/21,3/8/24,3,594.71,1381.64,2,5,44
POL100764,9/7/15,3/19/19,7,850.63,2368.98,2,2,26
POL100765,11/4/16,11/12/19,3,930.73,1991.53,2,3,42
POL100766,3/13/16,7/15/18,2,697.53,2404.41,3,5,36
POL100767,12/5/20,8/5/23,4,452.81,1175.15,3,7,45
POL100768,2/9/17,4/7/19,2,468.74,2370.63,2,5,24
POL100769,9/25/15,3/19/19,2,731.38,5064.71,3,9,33
POL100770,6/7/20,2/11/24,3,799.75,1747.34,1,2,2
POL100771,12/13/17,9/6/21,0,503.7,2100.74,3,5,28
POL100772,8/24/15,7/31/17,0,813.67,2638.78,2,5,34
POL100773,1/24/16,2/10/17,3,565.57,0,0,6,42
POL100774,2/1/17,12/7/18,4,707.14,994.83,1,0,40
POL100775,1/23/20,1/19/22,6,771.82,0,0,5,9
POL100776,9/14/21,8/17/23,4,377.73,11010.38,6,3,37
POL100777,9/15/16,3/5/20,2,667.72,0,0,3,37
POL100778,9/15/22,10/24/23,2,814.3,0,0,3,0
POL100779,6/6/18,4/4/22,8,515.9,0,0,6,0
POL100780,12/10/22,8/17/27,4,441.51,633.29,1,3,31
POL100781,7/31/16,12/5/20,3,674.22,1843.37,1,3,21
POL100782,10/23/20,1/12/25,1,620.02,1882.93,1,5,18
POL100783,3/10/16,2/17/18,2,550.9,388.23,1,2,34
POL100784,11/20/20,12/29/24,1,599.67,6545.63,5,2,5
POL100785,2/2/17,8/7/21,3,349.46,3777.58,3,2,33
POL100786,8/17/22,4/2/24,4,660.67,1927.86,2,3,14
POL100787,10/24/22,11/25/25,0,838.89,1373.89,1,3,43
POL100788,8/22/18,2/16/22,2,492.8,1910.53,1,7,41
POL100789,11/15/20,7/22/22,5,475.74,589.43,1,4,44
POL100790,10/16/22,7/1/26,5,625.88,0,0,3,2
POL100791,9/20/18,10/24/21,3,1026.88,356.76,1,3,36
POL100792,12/16/22,12/20/26,1,764.98,0,0,4,21
POL100793,10/18/21,11/15/25,3,585.87,2621.91,3,4,44
POL100794,3/22/16,2/9/20,2,605.94,4129.57,4,3,28
POL100795,7/10/20,11/22/22,5,779.83,1155.63,1,1,13
POL100796,8/24/18,11/27/20,1,463.59,0,0,4,29
POL100797,9/6/15,7/24/17,3,691.76,966.59,1,0,14
POL100798,6/15/15,3/31/17,3,432.38,0,0,4,28
POL100799,9/20/18,6/16/21,4,738.74,1705.69,1,6,13
POL100800,10/16/17,1/5/19,2,555.91,3489.31,2,1,2
POL100801,6/25/16,1/6/18,2,630.1,0,0,4,21
POL100802,1/28/17,5/5/19,1,546.17,0,0,1,32
POL100803,10/29/20,6/28/23,0,704.8,0,0,5,22
POL100804,12/20/20,1/23/24,2,573.8,0,0,3,6
POL100805,3/7/17,11/22/18,2,923.7,0,0,5,19
POL100806,5/18/15,4/27/19,1,812.83,1062.2,1,6,6
POL100807,2/9/21,10/5/23,5,404.36,2472.09,4,4,16
POL100808,9/15/18,8/6/20,7,628.72,1211.71,2,7,31
POL100809,10/3/22,6/14/26,2,710.27,2044.53,2,2,14
POL100810,2/19/20,1/29/25,2,531.28,4748.06,3,5,12
POL100811,3/10/15,4/28/18,2,781.87,3456.79,2,4,46
POL100812,2/6/22,3/29/23,1,764.2,3929.4,2,3,2
POL100813,10/1/20,4/18/24,2,587.47,1277.32,3,4,24
POL100814,1/13/19,1/13/22,2,747.18,668.36,1,6,31
POL100815,7/24/15,12/17/17,5,238.4,1586.27,1,5,15
POL100816,12/13/20,1/23/24,0,803.64,2438.04,2,4,0
POL100817,2/12/15,4/8/16,3,732.98,0,0,1,45
POL100818,3/21/20,12/11/21,2,436.85,0,0,4,2
POL100819,11/28/20,3/11/23,5,637.78,2330.44,3,4,19
POL100820,1/30/17,2/24/20,3,296.06,1029.79,1,5,27
POL100821,12/5/22,2/22/26,5,485.49,0,0,5,21
POL100822,11/12/20,7/15/23,6,764.35,3878.37,2,6,35
POL100823,6/17/20,10/18/23,3,598.07,1448.7,3,3,40
POL100824,4/19/20,5/9/24,5,589.77,7901.93,4,8,0
POL100825,6/18/17,11/26/21,2,606.78,1731.22,1,5,13
POL100826,12/26/15,2/20/19,0,589.29,2038.72,2,5,44
POL100827,9/16/19,4/18/21,6,748.12,0,0,3,14
POL100828,10/8/15,7/18/17,5,507.15,1441.58,1,3,31
POL100829,3/2/20,6/1/24,3,662.9,1325.18,2,4,17
POL100830,10/28/16,8/8/20,6,428.31,4382.1,5,3,47
POL100831,4/3/15,6/6/19,3,711.16,1172.31,1,2,37
POL100832,11/2/16,11/23/17,1,551.79,2768.67,2,3,21
POL100833,5/23/20,9/10/22,0,593.85,2445.84,2,6,15
POL100834,3/2/15,10/23/17,2,545.67,3312.24,3,4,10
POL100835,5/5/22,12/28/24,2,564.65,3160.08,3,5,6
POL100836,10/25/17,11/9/18,4,449.29,3441.15,3,8,8
